? Hugging Face token is set.
wandb token is set
This is the LORA Path : /hkfs/work/workspace/scratch/st_st191428-LiverLLM/Liver LLM/llama3_medical_finetuned/checkpoint_7000
{'loss': 0.4986, 'grad_norm': 0.0, 'learning_rate': 0.00018755933666235127, 'num_tokens': 8273920.0, 'mean_token_accuracy': 0.15469471588730813, 'epoch': 0.19}
{'loss': 0.5491, 'grad_norm': 0.0, 'learning_rate': 0.00018743603970162136, 'num_tokens': 8355840.0, 'mean_token_accuracy': 0.17001661285758018, 'epoch': 0.19}
{'loss': 0.6001, 'grad_norm': 0.0, 'learning_rate': 0.00018731274274089147, 'num_tokens': 8437760.0, 'mean_token_accuracy': 0.21448592208325862, 'epoch': 0.19}
{'loss': 0.6374, 'grad_norm': 0.0, 'learning_rate': 0.00018718944578016152, 'num_tokens': 8519680.0, 'mean_token_accuracy': 0.19793086163699627, 'epoch': 0.19}
{'loss': 0.5866, 'grad_norm': 0.0, 'learning_rate': 0.0001870661488194316, 'num_tokens': 8601600.0, 'mean_token_accuracy': 0.18913581632077694, 'epoch': 0.19}
{'loss': 0.5047, 'grad_norm': 0.0, 'learning_rate': 0.0001869428518587017, 'num_tokens': 8683520.0, 'mean_token_accuracy': 0.17644272185862064, 'epoch': 0.2}
{'loss': 0.5697, 'grad_norm': 0.0, 'learning_rate': 0.00018681955489797177, 'num_tokens': 8765440.0, 'mean_token_accuracy': 0.1750651106238365, 'epoch': 0.2}
{'loss': 0.598, 'grad_norm': 0.0, 'learning_rate': 0.00018669625793724185, 'num_tokens': 8847360.0, 'mean_token_accuracy': 0.19709246717393397, 'epoch': 0.2}
{'loss': 0.54, 'grad_norm': 0.0, 'learning_rate': 0.00018657296097651194, 'num_tokens': 8929280.0, 'mean_token_accuracy': 0.17164906822144985, 'epoch': 0.2}
{'loss': 0.5742, 'grad_norm': 0.0, 'learning_rate': 0.00018644966401578202, 'num_tokens': 9011200.0, 'mean_token_accuracy': 0.18020095862448215, 'epoch': 0.2}
{'loss': 0.5571, 'grad_norm': 0.0, 'learning_rate': 0.0001863263670550521, 'num_tokens': 9093120.0, 'mean_token_accuracy': 0.17619910575449466, 'epoch': 0.21}
{'loss': 0.6248, 'grad_norm': 0.0, 'learning_rate': 0.00018620307009432218, 'num_tokens': 9175040.0, 'mean_token_accuracy': 0.20352874211966993, 'epoch': 0.21}
{'loss': 0.5701, 'grad_norm': 0.0, 'learning_rate': 0.00018607977313359227, 'num_tokens': 9256960.0, 'mean_token_accuracy': 0.1994263794273138, 'epoch': 0.21}
{'loss': 0.5532, 'grad_norm': 0.0, 'learning_rate': 0.00018595647617286235, 'num_tokens': 9338880.0, 'mean_token_accuracy': 0.18461253829300403, 'epoch': 0.21}
{'loss': 0.5919, 'grad_norm': 0.0, 'learning_rate': 0.00018583317921213243, 'num_tokens': 9420800.0, 'mean_token_accuracy': 0.2071861457079649, 'epoch': 0.21}
{'loss': 0.5236, 'grad_norm': 0.0, 'learning_rate': 0.00018570988225140252, 'num_tokens': 9502720.0, 'mean_token_accuracy': 0.17259490191936494, 'epoch': 0.21}
{'loss': 0.6032, 'grad_norm': 0.0, 'learning_rate': 0.0001855865852906726, 'num_tokens': 9584640.0, 'mean_token_accuracy': 0.20328646712005138, 'epoch': 0.22}
{'loss': 0.5894, 'grad_norm': 0.0, 'learning_rate': 0.00018546328832994268, 'num_tokens': 9666560.0, 'mean_token_accuracy': 0.20161686278879642, 'epoch': 0.22}
{'loss': 0.5053, 'grad_norm': 0.0, 'learning_rate': 0.00018533999136921276, 'num_tokens': 9748480.0, 'mean_token_accuracy': 0.1598449993878603, 'epoch': 0.22}
{'loss': 0.6191, 'grad_norm': 0.0, 'learning_rate': 0.00018521669440848285, 'num_tokens': 9830400.0, 'mean_token_accuracy': 0.20490139201283455, 'epoch': 0.22}
{'loss': 0.4896, 'grad_norm': 0.0, 'learning_rate': 0.0001850933974477529, 'num_tokens': 9912320.0, 'mean_token_accuracy': 0.16123578697443008, 'epoch': 0.22}
{'loss': 0.6328, 'grad_norm': 0.0, 'learning_rate': 0.000184970100487023, 'num_tokens': 9994240.0, 'mean_token_accuracy': 0.20127087384462355, 'epoch': 0.23}
{'loss': 0.5233, 'grad_norm': 0.0, 'learning_rate': 0.0001848468035262931, 'num_tokens': 10076160.0, 'mean_token_accuracy': 0.1653784867376089, 'epoch': 0.23}
{'loss': 0.5543, 'grad_norm': 0.0, 'learning_rate': 0.00018472350656556318, 'num_tokens': 10158080.0, 'mean_token_accuracy': 0.17934072986245156, 'epoch': 0.23}
{'loss': 0.5448, 'grad_norm': 0.0, 'learning_rate': 0.00018460020960483323, 'num_tokens': 10240000.0, 'mean_token_accuracy': 0.18429958410561084, 'epoch': 0.23}
{'loss': 0.6118, 'grad_norm': 0.0, 'learning_rate': 0.00018447691264410334, 'num_tokens': 10321920.0, 'mean_token_accuracy': 0.20902772359549998, 'epoch': 0.23}
{'loss': 0.6249, 'grad_norm': 0.0, 'learning_rate': 0.00018435361568337343, 'num_tokens': 10403840.0, 'mean_token_accuracy': 0.19999092482030392, 'epoch': 0.23}
{'loss': 0.6181, 'grad_norm': 0.0, 'learning_rate': 0.00018423031872264348, 'num_tokens': 10485760.0, 'mean_token_accuracy': 0.19763487875461577, 'epoch': 0.24}
{'loss': 0.6125, 'grad_norm': 0.0, 'learning_rate': 0.00018410702176191356, 'num_tokens': 10567680.0, 'mean_token_accuracy': 0.18971872013062238, 'epoch': 0.24}
{'loss': 0.614, 'grad_norm': 0.0, 'learning_rate': 0.00018398372480118367, 'num_tokens': 10649600.0, 'mean_token_accuracy': 0.21756394170224666, 'epoch': 0.24}
{'loss': 0.5712, 'grad_norm': 0.0, 'learning_rate': 0.00018386042784045373, 'num_tokens': 10731520.0, 'mean_token_accuracy': 0.20638982951641083, 'epoch': 0.24}
{'loss': 0.5973, 'grad_norm': 0.0, 'learning_rate': 0.0001837371308797238, 'num_tokens': 10813440.0, 'mean_token_accuracy': 0.19366492945700883, 'epoch': 0.24}
{'loss': 0.5796, 'grad_norm': 0.0, 'learning_rate': 0.00018361383391899392, 'num_tokens': 10895360.0, 'mean_token_accuracy': 0.19515531174838543, 'epoch': 0.25}
{'loss': 0.5817, 'grad_norm': 0.0, 'learning_rate': 0.000183490536958264, 'num_tokens': 10977280.0, 'mean_token_accuracy': 0.1929200805723667, 'epoch': 0.25}
{'loss': 0.6151, 'grad_norm': 0.0, 'learning_rate': 0.00018336723999753406, 'num_tokens': 11059200.0, 'mean_token_accuracy': 0.20818495750427246, 'epoch': 0.25}
{'loss': 0.566, 'grad_norm': 0.0, 'learning_rate': 0.00018324394303680414, 'num_tokens': 11141120.0, 'mean_token_accuracy': 0.1950313650071621, 'epoch': 0.25}
{'loss': 0.547, 'grad_norm': 0.0, 'learning_rate': 0.00018312064607607425, 'num_tokens': 11223040.0, 'mean_token_accuracy': 0.1787180483341217, 'epoch': 0.25}
{'loss': 0.6573, 'grad_norm': 0.0, 'learning_rate': 0.0001829973491153443, 'num_tokens': 11304960.0, 'mean_token_accuracy': 0.20419185198843479, 'epoch': 0.26}
{'loss': 0.5937, 'grad_norm': 0.0, 'learning_rate': 0.0001828740521546144, 'num_tokens': 11386880.0, 'mean_token_accuracy': 0.1938702877610922, 'epoch': 0.26}
{'loss': 0.5229, 'grad_norm': 0.0, 'learning_rate': 0.00018275075519388448, 'num_tokens': 11468800.0, 'mean_token_accuracy': 0.1741725869476795, 'epoch': 0.26}
